Species,mean_Weight,mean_totalCulmen,mean_exposedCulmen,mean_billDepth,mean_billWidth,mean_gape,mean_wingLength,mean_distPrimarySecondary,mean_tailLength,mean_tailShape,mean_Tarsus,mean_Hallux
Cnemathraupis eximia,52.132222222222225,18.297931034482758,13.293103448275863,10.040799999999999,7.499583333333334,12.098888888888888,106.44285714285714,17.196923076923078,85.84607142857143,12.7272,29.2175,17.253214285714286
Cnemoscopus rubrirostris,19.975,15.86,11.955,5.403636363636363,4.406363636363636,7.905454545454545,87.97166666666666,12.530000000000001,72.15916666666666,5.214444444444443,22.796666666666667,12.408
Coeligena bonapartei,6.418461538461538,35.446666666666665,29.513,2.350416666666667,2.3517241379310345,4.657333333333334,70.99793103448276,44.74,43.25333333333333,-4.489130434782608,5.70952380952381,5.162962962962963
Coeligena coeligena,6.4,33.43,28.388333333333335,2.6883333333333335,2.1966666666666668,3.5033333333333334,67.425,45.2525,42.954,-9.0525,12,29.57333333333333
Coeligena helianthea,6.5600000000000005,35.56225806451613,29.289677419354838,2.2748275862068965,2.471875,4.717142857142857,69.18903225806451,41.3716,44.320344827586204,2.0867741935483877,5.775,5.527368421052632
Coeligena lutetiae,7.091086956521739,37.340322580645164,30.87155172413793,2.5237931034482757,2.238947368421053,4.032045454545455,73.0935,41.29218181818182,44.62983606557377,3.139999999999999,5.931923076923077,5.952307692307692
Coeligena orina,6.6,38.74666666666666,31.34,2.42,2.4133333333333336,4.02,72.84333333333333,43.723333333333336,45.29666666666667,-1.066666666666666,5.83,5.363333333333333
Coeligena torquata,6.77560606060606,38.289397590361446,32.55172839506173,2.521294117647059,2.2655696202531646,4.7295522388059705,74.55435294117648,42.39,44.63111111111111,-0.4136206896551719,5.8713953488372095,5.712727272727273
Colaptes rivolii,99.29166666666667,34.264117647058825,28.751666666666665,8.38375,9.186,12.839,133.165,28.563125,94.13933333333334,33.097692307692306,24.32611111111111,12.67142857142857
Colibri coruscans,7.458823529411765,28.394905660377358,22.835490196078432,2.4009259259259257,2.648867924528302,4.341621621621622,74.76692307692308,44.463125,47.350196078431374,3.266000000000002,5.322962962962963,5.055
Colibri thalassinus,4.42,24.97909090909091,19.755,2.137272727272727,2.362,4.078571428571428,60.269,37.907,39.13777777777778,8.147777777777778,6.03,4.77375
Conirostrum albifrons,12,13.94,10.779,4.086,3.601,5.527142857142857,70.685,14.873750000000001,56.028999999999996,2.41,17.145555555555557,10.722222222222221
Conirostrum rufum,11.4736,12.42525,9.719473684210527,3.76275,3.312105263157895,5.732222222222222,63.761944444444445,11.048518518518518,56.67175,11.641578947368421,19.761315789473684,10.315526315789473
Conirostrum sitticolor,11.34608695652174,13.2275,10.137941176470589,4.032727272727272,3.286785714285714,5.511153846153846,67.40971428571429,21.907666666666664,54.99142857142857,4.386296296296297,18.403714285714287,11.375428571428571
Cyanocorax yncas,13,27.919166666666666,18.449166666666667,9.954444444444444,9.379166666666666,14.489166666666668,119.55090909090909,14.146363636363636,134.34333333333333,36.45,37.776,22.714
Cyanolyca armillata,96.8325,32.274,22.788,10.455,8.838888888888889,16.38,138.53666666666666,7.401111111111111,183.875,73.80555555555556,40.09222222222222,21.381999999999998
Cyphorhinus thoracicus,26,23.6,18.42,5.72,3.72,9.28,63,1.24,45.51,NA,28.32,17.98
Dendrocincla tyrannina,46.826470588235296,36.07826086956522,29.93611111111111,8.174761904761905,7.678695652173913,12.624615384615385,125.87,21.078333333333333,113.62190476190476,45.480666666666664,26.131363636363638,19.022
Dendrocolaptes picumnus,50.28,38.873636363636365,32.974444444444444,7.880909090909091,8.01909090909091,13.68909090909091,128.85444444444445,22.7175,116.402,30.602222222222224,26.41181818181818,20.337
Diglossa albilatera,10.70712962962963,12.680793650793651,9.204765625,4.381666666666667,2.867459016393443,5.795392156862746,57.896031746031746,10.7129,48.6198347107438,8.93735294117647,19.291451612903227,10.75016393442623
Diglossa brunneiventris,10.05,13.732307692307693,9.068888888888889,4.0830769230769235,2.5883333333333334,4.7524999999999995,62.785384615384615,9.692307692307692,52.35,5.043846153846154,20.665,16.113076923076925
Diglossa caerulescens,14.705625,15.508750000000001,12.28175,4.439411764705882,3.4829268292682927,7.221851851851852,68.021,11.5684375,54.25358974358974,2.7903225806451615,20.45642857142857,11.891
Diglossa cyanea,16.616274509803922,17.17206106870229,13.0025,5.173675213675214,3.4590833333333335,6.884742268041237,71.68666666666667,12.050744680851064,58.48341463414634,13.265714285714285,21.45230769230769,11.893464566929135
Diglossa gloriosissima,16.45,15.672777777777778,11.820555555555556,5.107058823529412,3.072857142857143,5.5058823529411764,69.9738888888889,10.68235294117647,62.25764705882353,11.070714285714285,24.642352941176473,14.256874999999999
Diglossa humeralis,12.43417910447761,13.369033613445378,9.832112068965516,4.6094713656387665,3.0542986425339365,5.97231884057971,64.85508620689656,10.0185,58.50618025751073,15.021085972850681,22.434782608695652,11.38472340425532
Diglossa lafresnayii,17.073977272727273,15.017674418604651,11.01736111111111,4.9729611650485435,3.1510096153846154,6.5843181818181815,70.06392694063926,10.859483870967741,61.191830985915495,14.866111111111111,24.4088995215311,12.84
Diglossa sittoides,8.5,12.08,8.9875,4.4625,2.9325,5.8,53.616,10.97,49.5375,1.2175,18.646,10.2275
Doryfera ludovicae,5.769,35.98,32.285,2.413,2.9183333333333334,5.101,61.18333333333334,36.14333333333333,32.489,10.73,6.63375,5.887272727272728
Dubusia taeniata,39.06428571428572,18.47695652173913,13.56875,7.551904761904762,5.621666666666667,10.176,87.4835,10.7085,82.37666666666667,5.879090909090909,28.12,17.567391304347826
Elaenia albiceps,15.1,10.766666666666666,9.166666666666666,3.466666666666667,4.2,7.266666666666667,74,14,69,NA,19.733333333333334,8.866666666666667
Elaenia frantzii,14.934615384615384,12.2525,8.23409090909091,3.4040298507462685,3.9643939393939394,7.513692307692308,72.1325,13.894328358208956,64.11671641791045,7.303333333333331,16.435797101449275,9.505833333333333
Elaenia pallatangae,16.066666666666666,11.871666666666666,8.491904761904761,3.3755555555555556,4.1352631578947365,7.473333333333334,70.93142857142857,17.25578947368421,63.291111111111114,2.2141666666666664,18.17904761904762,10.2935
Empidonax virescens,15,12.54,8.09,3.62,4,10.98,NA,8.64,61.67,2.5,16.68,9.87
Ensifera ensifera,9.725999999999999,89.8,79.29583333333333,3.015,3.01,5.0175,75.6175,41.64,53.49333333333333,1.579090909090908,28.3375,6.87
Eriocnemis cupreoventris,5.764324324324324,21.988170731707317,18.168690476190477,2.0089333333333332,2.51775,4.162173913043478,59.53024691358025,35.37375,41.669,2.7313749999999914,5.522950819672131,5.630606060606061
Eriocnemis derbyi,5.245294117647059,24.210735294117647,20.67529411764706,2.1618461538461538,2.271451612903226,3.6472549019607845,57.89785714285714,31.952089552238807,32.804328358208956,3.72,4.782916666666667,5.592222222222222
Eriocnemis mosquera,5.801506849315069,23.648829787234042,20.295578947368423,1.9208695652173913,2.4386813186813185,4.0641428571428575,70.12279569892473,33.07905882352941,54.35336842105263,16.697023809523817,5.431739130434782,6.46875
Eriocnemis vestita,4.701652173913043,21.844356435643565,18.69269102990033,1.943673469387755,2.468181208053691,3.895625,57.75066445182724,33.971779661016946,39.93512987012987,6.856338028169006,5.685521739130435,5.4016101694915255
Gallinago jamesoni,193,78.53999999999999,72.32375,11.057272727272727,7.67,8.440909090909091,145.036,15.106,48.53636363636364,8.142727272727273,32.03909090909091,8.628
Gallinago nobilis,163.91666666666666,94.86367346938775,88.99142857142857,9.231944444444444,6.7669565217391305,7.951351351351351,137.3057777777778,10.751836734693876,56.07081632653061,11.729375000000001,35.18142857142857,10.830833333333333
Geothlypis philadelphia,10,14.48,10.015,3.325,3.895,5.195,61.665,18.66,44.504999999999995,21.229999999999997,19.990000000000002,9.33
Glaucidium jardinii,59.3125,15.276250000000001,10.545789473684211,9.666428571428572,7.135,13.732,99.52277777777778,15.728235294117647,60.28625,9.751111111111111,19.371,10.543125
Grallaria nuchalis,88,28.9725,22.9,10.0275,7.7775,14.06,112.28999999999999,4.5600000000000005,63.205,4.6025,58.375,24.435000000000002
Grallaria quitensis,69.4,23.809615384615384,18.6225,7.336666666666667,6.251071428571429,10.835238095238095,90.41379310344827,8.421923076923077,44.56192307692308,2.3266666666666667,45.24357142857143,21.07551724137931
Grallaria rufula,36.607142857142854,19.419166666666666,14.6112,5.6378260869565215,4.9799999999999995,9.290714285714285,77.86384615384615,7.958636363636364,38.549473684210525,0.12380952380952381,42.409615384615385,19.601153846153846
Grallaria squamigera,142.8325,34.98733333333333,27.088,12.176666666666666,9.196153846153846,14.983076923076922,145.12933333333334,16.93857142857143,60.956428571428575,2.121818181818182,60.99071428571428,25.236666666666668
Grallaricula cucullata,11.35,12.4,8.7,3.02,4.76,NA,70,10.01,38,27,23.34,13.22
Grallaricula lineifrons,20.615000000000002,16.75,10.34,4.279999999999999,4.5649999999999995,9.245000000000001,76.195,5.265,38.5,7.615,27.265,15.69
Grallaricula nana,18.604,16.756666666666668,11.758333333333333,4.4941176470588236,4.472777777777778,8.418461538461539,68.018,7.982222222222222,34.515882352941176,0,29.455333333333332,16.338823529411766
Haplospiza rustica,15.863636363636363,13.695714285714287,10.965,5.806923076923077,4.4783333333333335,5.949,68.15416666666667,13.855384615384615,43.85857142857143,0,18.580833333333334,13.323571428571428
Heliangelus amethysticollis,5.5,19.637878787878787,16.333142857142857,2.150967741935484,2.422051282051282,4.285555555555556,63.90512820512821,40.08777777777778,39.540571428571425,10.031142857142857,6.6125,5.414347826086956
Heliangelus exortis,4.612205882352941,18.80919540229885,15.358863636363637,2.020379746835443,2.2224418604651164,3.9205714285714284,63.01090909090909,34.797012987012984,43.26528735632184,3.055975609756105,5.6607843137254905,6.15984375
Heliodoxa rubinoides,6.62,21.174,17.502499999999998,2.165,3.3200000000000003,7.45,60.076,35.56,42.584,7.454,7.0275,6.04
Hellmayrea gularis,12.670526315789473,14.547125,11.207530864197532,3.2709876543209875,3.2946913580246915,6.47327868852459,56.782098765432096,13.690972222222221,53.795974025974026,23.953513513513514,21.00355263157895,15.14325
Hemitriccus granadensis,7.1575,13.205238095238096,10.033199999999999,2.7920000000000003,3.5384615384615383,6.282272727272727,44.0548,2.872272727272727,40.85307692307693,3.369565217391304,15.448260869565217,9.39576923076923
Henicorhina leucophrys,14.913,16.75549295774648,12.735945945945947,3.478133333333333,3.205263157894737,6.858656716417911,54.46155844155844,4.3405555555555555,29.311621621621622,7.5563076923076915,23.686891891891893,15.197432432432432
