decimalLongitude,decimalLatitude,Elevation,ParamoComplex,Department,Locality,clusters,unique_locality
-76.936583,1.522667,3530,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",1,DJP_89
-76.036783,6.50985,3400,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Abriaqui: Vda. Corcovado, Paramo Pena",3,FRU_90
-76.036017,6.511417,3397,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Abriaqui: Vda. Corcovado, Paramo Pena",3,FRU_91
-76.035517,6.513033,3373,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Abriaqui: Vda. Corcovado, Paramo Pena",3,FRU_92
-76.035833,6.509033,3424,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Abriaqui: Vda. Corcovado, Paramo Pena",3,FRU_93
-76.0346,6.514,3358,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Abriaqui: Vda. Corcovado, Paramo Pena",3,FRU_94
-76.05925,6.503556,3407,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Caicedo: Vda. Anocozca, Paramo El Junco",3,FRU_95
-76.060139,6.502278,3373,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Caicedo: Vda. Anocozca, Paramo El Junco",3,FRU_96
-76.058417,6.504667,3432,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Caicedo: Vda. Anocozca, Paramo El Junco",3,FRU_97
-76.0575,6.506722,3420,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Caicedo: Vda. Anocozca, Paramo El Junco",3,FRU_98
-76.05675,6.507917,3374,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Caicedo: Vda. Anocozca, Paramo El Junco",3,FRU_99
-76.096278,6.003389,3750,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Salgar: Vda. Santa Isabel, Paramo Cerro Plateado",1,FRU_100
-76.099861,6.010278,3541,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Salgar: Vda. Santa Isabel, Paramo Cerro Plateado",3,FRU_101
-76.096278,6.003389,3493,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Salgar: Vda. Santa Isabel, Paramo Cerro Plateado",1,FRU_102
-76.099389,6.011222,3493,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Salgar: Vda. Santa Isabel, Paramo Cerro Plateado",3,FRU_103
-76.109111,6.485444,3608,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Urrao: Vda. El Chuscal, Paramo El Sol",1,FRU_104
-76.107694,6.481528,3648,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Urrao: Vda. El Chuscal, Paramo El Sol",1,FRU_105
-76.110222,6.487028,3541,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Urrao: Vda. El Chuscal, Paramo El Sol",1,FRU_106
-76.128778,6.567333,3382,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Urrao: Vda. San Ruperto, Paramo La Horqueta",3,FRU_107
-76.132639,6.568917,3648,Complejo de Paramos Frontino-Urrao (FRU),Antioquia,"Antioquia: Urrao: Vda. San Ruperto, Paramo La Horqueta",3,FRU_108
-76.099316,6.002847,3600,Complejo de Paramos Frontino-Urrao (FRU),Choco,"Choco: El Carmen de Atrato: Sitio Cerro Plateado, Complejo Paramuno Frontino",1,FRU_109
-76.09948,6.002493,3530,Complejo de Paramos Frontino-Urrao (FRU),Choco,"Choco: El Carmen de Atrato: Sitio Cerro Plateado, Complejo Paramuno Frontino",1,FRU_110
-73.009792,6.045,3283,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,Boyaca: Belen: Vda. San Jose de la Montana,4,GLR_111
-72.989969,6.042742,3477,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,Boyaca: Belen: Vda. San Jose de la Montana,2,GLR_112
-72.964947,6.032719,3732,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,Boyaca: Belen: Vda. San Jose de la Montana,2,GLR_113
-72.919458,5.938208,3321,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,Boyaca: Cerinza: Vda. Centro Rural,4,GLR_114
-72.920603,5.9417,3111,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,Boyaca: Cerinza: Vda. Centro Rural,5,GLR_115
-72.9235,5.942867,2918,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,Boyaca: Cerinza: Vda. Centro Rural,5,GLR_116
-73.115128,5.945564,3193,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Duitama: Paramo de la Rusia - Virolin, Vda. El Carmen",4,GLR_117
-73.105497,5.943697,3401,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Duitama: Paramo de la Rusia - Virolin, Vda. El Carmen",2,GLR_118
