eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
155;-0.7272;-1.5761;-0.9495;1.6809;-0.2143;
156;-0.2382;-2.1033;-0.9727;2.5141;-0.257;
157;-0.5413;-1.6636;-1.074;1.8864;-0.083;
158;1.9577;0.205;2.9307;1.0588;-0.0837;
159;-1.2091;-0.2653;0.1387;-0.87;0.0993;
160;-1.0509;-0.434;0.0618;-0.7376;0.1641;
161;-1.0215;-0.5701;-0.3508;-0.2799;-0.1754;
162;0.2435;-0.2631;0.3107;-0.8127;0.2543;
163;0.9531;-0.8645;-0.8001;0.7368;-0.3243;
164;0.2927;0.7197;1.9456;-0.1863;1.5737;
165;-1.413;-0.2188;-0.8408;-0.3794;-0.0114;
166;-1.7567;-0.322;-1.0108;-0.3803;-0.0048;
167;3.482;-2.1937;1.3011;2.6354;0.9419;
168;4.156;-0.3996;1.2564;0.2208;-1.522;
169;1.9609;-0.2452;0.4307;-0.1533;-0.8773;
170;-1.2822;-0.7282;-0.1095;0.2965;0.059;
171;2.4833;1.6225;5.8367;-1.9231;-1.9855;
172;-0.3316;-0.77;-0.0187;0.4876;0.0495;
173;0.8122;-0.3962;-0.3887;0.0278;0.1432;
174;-0.6916;-0.3466;-0.1084;-0.9374;0.3082;

cos2
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;0.4992;0.1706;0.0251;0.2108;0.0013;
2;0.7131;0.1825;0.0034;0.0215;0.0577;
3;0.2839;0.5045;0.1189;0.0573;0.0216;
4;0.2093;0.0794;0.4306;0.1061;0.1344;
5;0.4926;0.0498;0.2468;0.013;0.0377;
6;0.6026;0.065;0.1452;0.1024;0.0061;
7;0.8621;0.0296;0.0562;0.0254;0.0122;
8;0.9194;2e-04;0.0403;0.0199;0.0087;
9;0.2087;0.5636;0.0199;0.165;0.0043;
10;0.1536;0.4258;0.0202;0.346;0.0049;
11;0.1671;0.5388;0.1109;0.0596;0.049;
12;0.2573;0.4921;0.0146;0.0159;0;
13;0.0783;0.3538;0.1884;0.3551;0.0046;
14;0.0065;0.3361;0.0803;0.5623;0.0023;
15;1e-04;0.4867;0.0812;0.2276;0.0298;
16;0.1989;0.0068;0.2886;0.0019;0.3855;
17;0.0498;0.5264;0.0254;0.2552;0.0104;
18;0.0011;0.5017;0.1229;0.0261;0.0031;
19;0.859;0.001;0.0862;0.0081;0.0291;
20;0.7125;0.1202;0.0633;0.069;0.0132;
21;0.348;0.4742;0.1309;0.0136;0.0206;
22;0.4812;0.0458;0.0312;0.0254;0.3155;
23;0.7257;0.008;0.2481;0.0024;0;
24;0.8253;0.0196;0.0517;0.074;3e-04;
25;0.814;0.0012;0.017;0.0764;0.0365;
26;0.9603;1e-04;0.0106;0.0035;0.0067;
27;0.2143;0.4047;0.0258;0.2461;0.095;
28;0.8748;0.0459;0.0108;0.0023;0.025;
29;0.1532;0.5939;0.0383;0.0687;0.0494;
30;0.4484;0.1421;0.0438;0.273;0.0187;
31;0.5029;0.1972;0.0826;0.142;0.005;
32;0.3368;0.2751;0.0197;0.1845;0.1095;
33;0.0639;0.0271;0.6399;0.1535;1e-04;
34;0.6336;9e-04;4e-04;0.3097;0.0068;
35;0.6519;0.1282;0.081;0.0981;0.0221;
36;0.5991;0.0668;0.0315;0.2286;0.0061;
37;0.1518;0.593;0.2032;0.0115;0.0226;
38;0.368;0.1925;0.0598;0.3439;0.0047;
39;0.1734;0.0184;0.6941;0.0018;9e-04;
40;0.6076;0.1359;4e-04;0.037;0.1099;
41;0.1543;0.3672;0.382;0.0099;0.0303;
42;0.0524;0.4412;0.2255;0.127;0.0535;
43;0.63;0.0558;0.2638;7e-04;0.0082;
44;0.7534;0.0283;0.1745;0.009;3e-04;
45;0.589;0.2096;0.0213;0.1305;0.0046;
46;0.1993;0.1754;0.012;0.2044;0.2107;
47;0.1172;0.8445;0.0039;0.0184;0.0095;
48;0.1646;0.7995;0.0079;0.0055;0.0101;
49;0.1228;0.8054;7e-04;0.0525;0.011;
50;0.0959;0.8188;0.0035;0.0688;0.0066;
51;0.0811;0.8598;2e-04;0.0435;0.0063;
52;0.0695;0.8727;9e-04;0.0411;0.0043;
53;0.9391;1e-04;5e-04;0.0268;1e-04;
54;0.216;0.6514;0.034;0.0676;0.0285;
55;0.4662;0.4081;3e-04;0.069;0.0494;
56;0.8538;0.0025;6e-04;0.0775;0.0162;
57;0.8466;0.0909;0.0402;0.002;0.0115;
58;0.928;4e-04;0.0201;0.0164;0.0021;
59;0.5753;0.1828;6e-04;0.0381;9e-04;
60;0.6015;0.186;0.0032;0.1552;0.0353;
61;0.7271;0.0167;0.0165;0.1819;0.0033;
62;0.8252;7e-04;0.0026;0.0674;0.0181;
63;0.8497;0.045;0.0547;0.0272;3e-04;
64;0.852;0.0156;0.0346;0.0294;0.0243;
65;0.7434;0.0073;0.0301;0.1708;0.0304;
66;0.6675;0.0834;0.1539;0.004;0.0128;
67;0.6818;0.0665;0.0837;0.0019;0.043;
68;0.7281;0.1512;0.0773;5e-04;0.0093;
69;0.6515;0.1713;0.0882;3e-04;0.0254;
70;0.8294;0.0153;0.0215;0.1028;0.0015;
71;0.1141;0.6804;0.0697;0.0697;0.0421;
72;0.1508;0.2591;1e-04;0.3384;0.0916;
73;0.7265;0.1513;0.0102;0.0423;0.0503;
74;0.7189;0.0524;0.0579;0.1085;0.0279;
75;0.3216;0.1681;0.0042;0.2459;0.0751;
76;0.0511;0.721;0.121;0.0479;0.0023;
77;0.5827;0.3614;0.0057;0.0179;0.0253;
78;0.5506;0.3968;0.0091;0.0123;0.0242;
79;0.4211;0.2706;3e-04;0.2947;0.0065;
80;0.6036;0.3127;0;0.0421;0.0326;
81;0.4478;0.3248;0.1668;0.0035;0.0198;
82;0.3574;0.3874;0.2184;0.0016;0.0303;
83;0.7346;0.0334;0.0577;0.0505;0.061;
84;0.3019;0.1995;0.0084;0.3779;0.0382;
85;0.5726;0.0028;0.0629;0.3145;0.0148;
86;0.1254;0.0031;0.1449;0.613;0.0039;
87;0.1073;6e-04;0.1381;0.6576;0.0024;
88;0.7176;0.0136;0.0035;0.1859;0.0024;
89;0.3239;0.0637;0.1262;0.2804;0.0047;
90;0.4342;7e-04;0.0901;0.4064;1e-04;
91;0.5738;0.0023;0.0236;0.3151;0.0204;
92;0.5413;0.2563;0.0251;0.0771;0.0762;
93;0.6857;0.2456;0.0236;0.0185;0.0167;
94;0.4827;0.2874;0.0188;0.0164;0.0862;
95;0.6413;0.1119;0.1189;0.0887;0.0048;
96;0.7343;0.0199;0.1252;0.0951;0.0057;
97;0.6277;0.0012;0.2221;0.0908;4e-04;
98;0.2746;0.1108;0.0445;0.4623;1e-04;
99;0.0597;0.3949;0.0409;0.2988;5e-04;
100;0.1757;0.4157;5e-04;0.1903;0.114;
101;0.2946;0.6299;0.0139;0.0453;0.0145;
102;0.9062;7e-04;0;0.0389;0.0216;
103;0.4194;0.0172;0.0072;0.4288;0.0277;
104;0.0761;0.3371;0.0493;0.5276;0.0028;
105;0.3119;0.0291;0.158;0.0843;0.0615;
106;0.2252;0.1562;0.1869;0.0206;0.0901;
107;0.5565;0.0901;0.0039;0.3296;0.01;
108;0.3;0.3727;0.0044;0.2627;0.0426;
109;0.6943;0.2165;0.0088;0.0029;0.0535;
110;0.7643;0.1449;0.0461;0.0049;0.018;
111;0.792;0.0519;0.0024;0.0605;0.0759;
